temperature,pressure,humidity,rain,day_or_night,weather
75,29.36,91,0.0,0,10
76,29.41,90,0.0,1,11
76,29.49,91,0.0,0,8
78,29.44,92,0.0,1,7
74,29.36,91,0.0,1,6
75,29.31,91,0.0,0,10
77,29.54,88,0.0,1,8
80,29.38,84,0.0,0,5
77,29.43,90,0.0,0,3
77,29.41,71,0.0,0,5
82,29.41,75,0.0,1,4
84,29.49,72,0.0,1,1
76,29.41,90,0.0,0,7
79,29.44,82,0.28,1,3
75,29.33,91,0.0,0,6
88,29.5,63,0.0,1,3
75,29.39,93,0.0,0,9
77,29.37,88,0.0,0,5
77,29.52,90,0.0,1,9
75,29.44,91,0.0,0,8
74,29.43,91,1.94,1,11
77,29.46,88,0.0,0,5
82,29.4,75,0.0,1,1
84,29.45,77,0.0,1,4
76,29.43,91,0.0,0,10
77,29.36,91,0.0,1,10
84,29.47,61,0.0,1,1
81,29.43,94,0.0,1,8
78,29.5,85,0.0,1,1
80,29.38,84,0.0,0,5
81,29.34,84,0.0,0,5
75,29.4,91,0.0,0,9
81,29.47,81,0.0,0,5
78,29.35,90,0.0,0,6
72,29.41,91,0.0,0,6
83,29.4,70,0.0,1,1
76,29.42,78,0.0,1,3
77,29.46,77,0.0,0,5
76,29.35,91,0.0,1,9
81,29.49,74,0.0,0,5
78,29.54,90,0.0,1,8
75,29.44,91,0.0,0,4
80,29.53,76,0.0,0,2
83,29.42,77,0.0,1,1
85,29.46,62,0.0,1,3
76,29.4,91,0.0,0,10
76,29.44,93,0.0,0,8
76,29.38,86,0.0,0,4
79,29.41,84,0.0,1,7
75,29.47,86,0.0,0,7
75,29.44,90,0.0,0,1
75,29.46,91,0.0,0,11
83,29.45,68,0.0,1,2
75,29.44,91,0.0,0,9
77,29.49,86,0.0,0,4
75,29.39,93,0.0,0,9
77,29.41,88,0.0,0,5
77,29.43,91,0.0,0,7
86,29.47,70,0.0,1,1
78,29.41,90,0.0,1,4
75,29.36,91,0.0,0,10
74,29.49,95,0.0,0,9
84,29.35,77,0.0,0,4
77,29.58,88,0.51,1,7
75,29.36,91,0.0,0,10
75,29.4,91,0.0,0,9
79,29.54,84,0.0,1,2
77,29.41,91,0.0,0,4
75,29.43,91,0.0,1,9
87,29.45,61,0.0,1,3
85,29.45,73,0.0,1,1
75,29.4,91,0.0,0,9
74,29.38,93,0.0,0,4
80,29.45,68,0.0,0,3
80,29.47,81,0.0,0,1
75,29.44,91,0.0,0,8
75,29.38,93,0.0,0,9
75,29.51,91,0.0,1,8
79,29.46,87,0.04,1,1
81,29.44,77,0.0,0,4
80,29.35,63,0.0,0,2
86,29.42,78,0.0,0,2
76,29.44,91,0.0,0,7
81,29.46,83,0.0,1,2
77,29.41,91,0.15,1,4
78,29.48,91,0.98,1,4
76,29.45,90,0.0,0,5
74,29.39,93,0.0,0,6
75,29.38,91,0.0,1,9
80,29.53,82,0.0,0,5
80,29.41,82,0.0,0,5
83,29.34,79,0.0,1,1
76,29.49,91,0.0,0,8
77,29.39,91,0.0,0,4
75,29.44,91,0.0,0,2
77,29.4,91,0.0,0,11
79,29.39,89,0.39,1,3
78,29.53,90,0.42,1,3
77,29.4,91,0.0,0,11
86,29.42,66,0.0,1,2
